x;y
0.61024002;0.229201439
0.844447908;0.404076672
1.201626734;1.024285779
0.406985425;-0.136031069
0.341955884;0.202308914
0.519867281;0.15876478
1.189106145;0.678697815
0.087906382;-0.093659762
1.649131117;2.910770807
0.863521154;0.626259145
1.046801513;1.385632914
1.024942232;1.265935581
0.832503061;1.151868633
1.835261137;3.233332324
0.061889906;-0.137954804
1.742898944;3.12399987
0.794876109;0.577045496
1.43643187;2.138620351
1.075602567;1.113390901
1.029486174;1.296784903
